Time,Thrust,Power
0.02,-0.0058389086,-0.58013731
0.04,-0.005136446,-0.51142311
0.06,-0.0051322964,-0.51052822
0.08,-0.0048791246,-0.4844898
0.1,-0.0047542662,-0.47153804
0.12,-0.003949337,-0.39123576000000004
0.14,-0.0012821945,-0.12395771
0.16,0.00013376278,0.018296735
0.18,-0.00029321212,-0.024730169000000003
0.2,-0.00038715197,-0.035672305
0.22,-0.0002545326,-0.024606726
0.24,-0.00018640738,-0.019160418
0.26,0.00029077908,0.027743880000000002
0.28,0.00065931457,0.063978028
0.3,0.00113861,0.11115666
0.32,0.00096704576,0.093484324
0.34,4.9220265e-06,-0.0026483386
0.36,-0.0012058357,-0.12335099999999999
0.38,-0.0022197824,-0.22472887
0.4,-0.0031660323,-0.31913703
0.42,-0.0041579625,-0.41770399999999996
0.44,-0.004637437,-0.46490596
0.46,-0.0047023489,-0.47043926999999996
0.48,-0.0052405379,-0.52316598
0.5,-0.0066104744,-0.6592184400000001
0.52,-0.0082975942,-0.8271143700000001
0.54,-0.0090957104,-0.9064709400000001
0.56,-0.0091025642,-0.90680942
0.58,-0.0088852847,-0.88481773
0.6,-0.00834145,-0.8303584500000001
0.62,-0.0065340217,-0.6493643
0.64,-0.0049525596,-0.49061752
0.66,-0.0046291914,-0.45763154
0.68,-0.0050651518,-0.50084047
0.7,-0.0049946907,-0.49410201000000004
0.72,-0.0043028503,-0.42514873
0.74,-0.0034487607,-0.34027403
0.76,-0.00278842,-0.27501456
0.78,-0.00090851762,-0.087564107
0.8,0.00069319494,0.072265857
0.82,0.0018532876,0.18803672
0.84,0.0019528466,0.19769329000000002
0.86,0.0015134294,0.15322993999999998
0.88,0.00070448447,0.071637623
0.9,-3.6474809e-05,-0.0031971913
0.92,-0.00019183284,-0.0200034
0.94,0.00079763216,0.078396985
0.96,0.0010986442,0.10785671999999999
0.98,0.0015142553,0.14908667
1.0,0.00062275941,0.059880199999999995
